week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
1/27/2018,1/20/2018,04000US22,Louisiana,2468,19093,1874072,1.02,1.51703E+12,"January 27th, 2018",04000US22,Louisiana
1/27/2018,1/20/2018,04000US28,Mississippi,1309,10312,1101351,0.94,1.51703E+12,"January 27th, 2018",04000US28,Mississippi
1/27/2018,1/20/2018,04000US44,Rhode Island,1341,13243,464069,2.85,1.51703E+12,"January 27th, 2018",04000US44,Rhode Island
1/20/2018,1/13/2018,04000US19,Iowa,3017,31002,1517606,2.04,1.51642E+12,"January 20th, 2018",04000US19,Iowa
1/20/2018,1/13/2018,04000US21,Kentucky,3299,25180,1869232,1.35,1.51642E+12,"January 20th, 2018",04000US21,Kentucky
1/20/2018,1/13/2018,04000US22,Louisiana,1737,19150,1874072,1.02,1.51642E+12,"January 20th, 2018",04000US22,Louisiana
1/20/2018,1/13/2018,04000US28,Mississippi,939,10079,1101351,0.92,1.51642E+12,"January 20th, 2018",04000US28,Mississippi
1/20/2018,1/13/2018,04000US44,Rhode Island,1685,11669,464069,2.51,1.51642E+12,"January 20th, 2018",04000US44,Rhode Island
1/13/2018,1/6/2018,04000US19,Iowa,4348,32764,1517606,2.16,1.51582E+12,"January 13th, 2018",04000US19,Iowa
1/13/2018,1/6/2018,04000US21,Kentucky,3998,24105,1869232,1.29,1.51582E+12,"January 13th, 2018",04000US21,Kentucky
1/13/2018,1/6/2018,04000US22,Louisiana,2945,19924,1874072,1.06,1.51582E+12,"January 13th, 2018",04000US22,Louisiana
1/13/2018,1/6/2018,04000US28,Mississippi,1733,10702,1101351,0.97,1.51582E+12,"January 13th, 2018",04000US28,Mississippi
1/13/2018,1/6/2018,04000US44,Rhode Island,1988,12332,464069,2.66,1.51582E+12,"January 13th, 2018",04000US44,Rhode Island
